ID,Date,Rank,Link,Watchface Name,Watchface Thumbnail,IsUnique,UI Style,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Color Hue (Color except balck white grey),Animation,Data Types,displayForm,Data+Display,OnlyIcon,"Watch type (Analog, Digital,Hybrid)",Sport tagged?,Number of data types,formFactor
62,2022-09-18,63,https://www.facer.io/watchface/QbykbZZa0s?watchModel=applewatch4sportwhite,Fly Me To The Moon ,,yes,flat,background;design;,4,no;,time;date;day;temperature;distance;steps;move value;heart rate;watch battery;,text;text;text;text;text;text;,temperature=text;distance=text;steps=text;move value=text;heart rate=text;watch battery=text;,none;,digital,no;,6,apple
63,2022-09-18,64,https://www.facer.io/watchface/5QTnVBgrrC?watchModel=applewatch7blue2,VSA | Super U,,yes,flat,logo;,3,no;,time;date;day;watch battery;,text;,watch battery=text;,none;,analog,no;,1,apple
64,2022-09-18,65,https://www.facer.io/watchface/veK5CZObA7?watchModel=applewatch4silvermilanese,Earthy Analog,,yes,flat,design;,7,no;,time;date;day;air quality;,chart+text;,air quality=chart+text;,none;,analog,no;,1,apple
65,2022-09-18,66,https://www.facer.io/watchface/OtjoshL26g?watchModel=applewatch7black,#SNARL Social Media Wolfman,,yes,flat,design;,3,no;,time;date;day;steps;heart rate;moon;weather;temperature;watch battery;,icon+text;icon+text;icon;icon;text;chart;,steps=icon+text;heart rate=icon+text;moon=icon;weather=icon;temperature=text;watch battery=chart;,weather;moon;,digital,no;,6,apple
66,2022-09-18,67,https://www.facer.io/watchface/9C8hq0AW0u?watchModel=applewatch7blue2,TMJ | Speed P,,yes,flat,background;,2,no;,time;date;day;,none,none;,none;,digital,yes;,0,apple
67,2022-09-18,68,https://www.facer.io/watchface/wI3KkpwTO3?watchModel=applewatch7blue2,Wireframe 4 ,,yes,flat,no;,1,no;,time;date;day;steps;weather;watch battery;move value;exercise time;standing time;,text;text;icon+text;text;text;text;,steps=text;weather=text;watch battery=icon+text;move value=text;exercise time=text;standing time=text;,none;,digital,no;,6,apple
68,2022-09-18,69,https://www.facer.io/watchface/Ny3oJ0ABnL?watchModel=applewatch7blue2,Fur-Ever In My Heart (Cat),,yes,flat,design;,2,no;,time;date;day;temperature;weather;steps;heart rate;watch battery;,text;icon;icon+text;icon+text;text;,temperature=text;weather=icon;steps=icon+text;heart rate=icon+text;watch battery=text;,weather;,digital,no;,5,apple
69,2022-09-18,70,https://www.facer.io/watchface/Ftqs5Ci09K?watchModel=applewatch7orange,Autumn Craft,,yes,flat,container;background;,4,no;,time;date;day;steps;temperature;heart rate;watch battery;,icon+text;text;icon+text;chart+text;,steps=icon+text;temperature=text;heart rate=icon+text;watch battery=chart+text;,none;,digital,no;,4,apple
70,2022-09-18,71,https://www.facer.io/watchface/FQ1rLgVyih?watchModel=applewatch7black,Purple Corgi King,,yes,semi-flat,background;,2,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
71,2022-09-18,72,https://www.facer.io/watchface/BU1Wo2ivG8?watchModel=applewatch7orange,TMJ | 9,,yes,flat,container;design;,3,no;,time;date;day;watch battery;move value;exercise time;standing time;,text;chart+text;chart+text;chart+text;,watch battery=text;move value=chart+text;exercise time=chart+text;standing time=chart+text;,none;,digital,yes;,4,apple
72,2022-09-18,74,https://www.facer.io/watchface/9CnicZFwLl?watchModel=applewatch7black,HELL-O,,yes,semi-flat,design;,2,no;,time;date;day;temperature;watch battery;weather;steps;heart rate;calories;move value;,text;chart+text;icon;icon+text;icon+text;icon+text;icon+text;,temperature=text;watch battery=chart+text;weather=icon;steps=icon+text;heart rate=icon+text;calories=icon+text;move value=icon+text;,weather;,digital,no;,7,apple
73,2022-09-18,75,https://www.facer.io/watchface/6Y4vtkCjud?watchModel=applewatch7blue2,VSA | Green P,,yes,semi-flat,background;,1,no;,time;date;day;,none,none;,none;,digital,yes;,0,apple
74,2022-09-18,76,https://www.facer.io/watchface/lpicj3AVD5?watchModel=applewatch4sportwhite,PD- 🚀 HIPPIE SPACE 004 ,,yes,semi-flat,container;background;design;,5,no;,time;date;day;watch battery;weather;temperature;heart rate;steps;,text;icon;text;icon+text;text;,watch battery=text;weather=icon;temperature=text;heart rate=icon+text;steps=text;,weather;,digital,no;,5,apple
75,2022-09-18,78,https://www.facer.io/watchface/hOKipF8MlA?watchModel=applewatch7black,VSA | Mega K,,yes,semi-flat,container;logo;,2,no;,time;date;day;location;weather;temperature;watch battery;move value;exercise time;standing time;,text;icon;text;chart+text;text;text;text;,location=text;weather=icon;temperature=text;watch battery=chart+text;move value=text;exercise time=text;standing time=text;,weather;,analog,yes;,7,apple
76,2022-09-18,79,https://www.facer.io/watchface/JParr7ECVf?watchModel=applewatch7black,Jeep-Pro,,yes,flat,container;design;,1,no;,time;date;day;watch battery;moon;temperature;heart rate;steps;humidity;weather;move value;standing time;exercise time;sun;wind direction;wind speed;,icon+text;icon;text;icon+text;icon+text;icon+text;text;text;text;text;icon+text;icon+text;icon+text;,watch battery=icon+text;moon=icon;temperature=text;heart rate=icon+text;steps=icon+text;humidity=icon+text;weather=text;move value=text;standing time=text;exercise time=text;sun=icon+text;wind direction=icon+text;wind speed=icon+text;,moon;,digital,no;,13,apple
